track_name,track_id,track_number,duration_ms,album_type,artists,total_tracks,album_name,release_date,label,album_popularity,album_id,artist_id,artist_0,artist_1,artist_2,artist_3,artist_4,artist_5,artist_6,artist_7,artist_8,artist_9,artist_10,artist_11,duration_sec
Come Alive - Bonus Track,606YPVeUuvXnxJ19SVI0rg,12,227226,compilation,,13,The Greatest Showman: Reimagined,2018-11-16 00:00:00 UTC,Atlantic Records,61,4dPosP4Io4sDCmeiCxVHW0,0LyfQWJT6nXafLPZqxe9Of,Craig David,,,,,,,,,,,,227.226
Oops!... I Did It Again (Originally Performed By Britney Spears),1VEsVB56FcFXCaqXFQXhty,15,213812,album,,23,Basi Musicali: Britney Spears (Backing Tracks),2010-07-22 00:00:00 UTC,NAR International,1,72C3O6H0gglr4tNoyLtMFB,0jSOXAFMWFS0739gE55Oqw,Alta Marea,,,,,,,,,,,,213.812
Ariana Grande Rp Pt.4,3IsJYRhgN5J8skwHvDjXnM,4,229355,single,,4,Ariana Grande Rp,2019-11-19 00:00:00 UTC,Jinx ASMR,0,7BUP76FJMPCBJmmR7BAf92,0xl6qcCkuTgiBrb4pGEOrx,Jinx ASMR,,,,,,,,,,,,229.355
Laid Up And Lonesome,4t6carTHyQfJSNUjLz9vFg,11,178042,album,,14,Jesse Smathers,2022-05-13 00:00:00 UTC,Jesse Smathers,4,1dsuBLEoCy7P42FdDkiWCi,6OSCcUWgUcPBorlVhR2K3c,Jesse Smathers,,,,,,,,,,,,178.042
Straight Line For You,54aPG7O85qsbaK7gKSywxk,5,98000,album,,16,City And Country,2023-01-06 00:00:00 UTC,Joyful Noise Recordings,1,7GuGKBh0OFwlocm5BbfwmS,1XLTyou7XqJseACLHiYvY9,Jorma Whittaker,,,,,,,,,,,,98
Mosaico Chapin 1: Cumbia Jalapaneca / El Valle De La Ermita / Bailando Con La Llorona - En Vivo,5Kr138fgKz8TZ1x0anYVwB,1,284506,album,,12,Y Contigo Alegrisimo Vol. 3: Música De Guatemala Para Los Latinos (En Vivo),2014-10-20 00:00:00 UTC,Meta/ Difosa,8,6sBd5Kn39cEnotC9utioE9,5SQ6aafx7AbNfkjXFdF5m1,Miguel Angel Tzul y su Marimba Orquesta,,,,,,,,,,,,284.506
I Die - New Version,7IZhzYwxrBbWqI9AO7OfCy,2,183093,single,,4,A.S.M.R. One. (A Smokey Motel Record - Part One),2022-10-29 00:00:00 UTC,Independent,1,388NCqUrGCzvhwOJPq6hj6,6ZW19OZwejDAluANEhy6bo,Smokey Motel,,,,,,,,,,,,183.093
Dance On The Moon,3aJKd1BZtMAgRcKnsdrbMZ,9,149810,album,,12,Jimmy Griffin The Archive Series: The Ultimate Collection - Vol. 1,2023-03-01 00:00:00 UTC,Wraysong Records LLC,1,1beo4WyHOHHTFG4f1QWehC,1rI3ADlepIisFTBNkQfyE3,Jimmy Griffin,,,,,,,,,,,,149.81
Relocation Expenses,2Az52c0Ub2xMLwatpv1xI4,5,119066,album,,14,Looks Like Brandy,2022-03-11 00:00:00 UTC,Strained Commonwealth,0,6AQ9nvG4RAPNVBHolh0NAp,2Eie6W9yDrPGM6Tc4ffxpm,Strained Commonwealth,,,,,,,,,,,,119.066
Schumann Kinderszenen - Op. 15 I. Von Fremden Ländern Und Menschen,1FnWIbY8gDupxZYzrJwgGv,13,118937,album,,25,2021 Powerful Piano Pack,2021-09-21 00:00:00 UTC,Always Lovely Piano,11,2ad7Ky0Wgt5CVgqveuv6nh,0jTd4a49hUYB6X1Gn9cJFf,RPM (Relaxing Piano Music),Soulful Piano Group,Chillout Cafe Music,,,,,,,,,,118.937
