track_name,track_id,track_number,duration_ms,album_type,artists,total_tracks,album_name,release_date,label,album_popularity,album_id,artist_id,artist_0,artist_1,artist_2,artist_3,artist_4,artist_5,artist_6,artist_7,artist_8,artist_9,artist_10,artist_11,duration_sec
Peter Hammers With One Hammer,3JEYqnXWWZSB1sl2h6ghsu,13,92600,album,,17,Baby Schoolbus | Educational Songs & Nursery Rhymes,2018-02-16 00:00:00 UTC,Baby Walrus Entertainment,13,2OE7OatlQpvgwt71moel69,5q0OF8Ql4tW3OWFXftiUAO,Nursery Rhymes and Kids Songs,,,,,,,,,,,,92.6
Emotions,5jxTOazeu2ZGuXtQdPbzvH,43,142395,album,,45,Heartbreak On A Full Moon,2017-10-31 00:00:00 UTC,RCA Records Label,71,3zak0kNLcOY5vFcB3Ipskp,7bXgB6jMjp9ATFy66eO08Z,Chris Brown,,,,,,,,,,,,142.395
Her Power,7HojyR7O7lr1BieXHEkwR4,1,160000,single,,1,Her Power,2023-11-03 00:00:00 UTC,Cristal Vicencio,5,0zfs5w8jFLVa2q4JP34uxr,3UOdFCSJK69DK4umITGbcR,CRI$,,,,,,,,,,,,160
Hold It Against Me (Originally Performed By Britney Spears) - Karaoke Version,0i9BBHKzL3wlvg07QqFgiU,2,229542,single,,3,Hold It Against Me (Originally Performed By Britney Spears) [Karaoke Version],2013-10-21 00:00:00 UTC,Singer's Edge Karaoke,0,5aRKvtvGhQY3kvuOIt2p1G,3CtgjasLNN3Ym8SHm5JuJn,Singer's Edge Karaoke,,,,,,,,,,,,229.542
River - Close - Birds - Forest,6nfg5r6zTFsgEJNV6TmgFv,27,120000,album,,50,50 Calming Rain Sounds For Sleep And Relaxation,2022-09-29 00:00:00 UTC,Sami Springs,0,7ANBC6UjZkrKrHFhskD5Oz,5S5w21MfQnpQZXxz6LbNQt,Pro Sounds of Nature,Sound Healing Center,Sonidos de lluvia para dormir,,,,,,,,,,120
Amanda Seyfried,1Tx98sSG0hqoKYTS8knBGZ,6,116000,album,,16,Britney Spears,2006-01-01 00:00:00 UTC,NNMaddox 14mercy,0,4VJ3QmlBxiCfUPM8iHjMLl,1mWUN6xPRebM3SLX4zCFmt,Mike Macharyas,,,,,,,,,,,,116
Anxiety,4zXeqwiYGAa0OIbB8OIoT1,2,183431,single,,2,Neverland,2020-12-14 00:00:00 UTC,Lil Wasted,5,30RsnH3BtTDVwyxENFUZTS,4q02GelKIcDFLImU0TeGqq,Lil Wasted,,,,,,,,,,,,183.431
Staircase,4WDVlkf06hjosUdF5MnCB1,3,234374,album,,17,Tribute To Radiohead - Vol. 3,2022-07-01 00:00:00 UTC,Fabricason label,0,1YFOPI94d9ixh8fm8J0IjV,5u7hgy7WBqUKCEgzMjULKk,Amnesiac Quartet,,,,,,,,,,,,234.374
Climb - Live,4teOL40SiEp8pMKcpddJqc,7,238813,album,,7,Live At 8Am Chicago 11.16.19,2020-01-26 00:00:00 UTC,Alchemy Hours,1,0rtOeu9XJJCGdpYS8LwvI8,5dJOVuV0uavDcfaM165N9q,Maxwell Stern,,,,,,,,,,,,238.813
Smile: Modern Times: Smile,3EF32uKx6gowuTKiaRiOvm,9,173440,album,,22,Unforgettable,2010-01-01 00:00:00 UTC,The Gift of Music,17,31slSL9GVLFDbkpCkQ3L7O,7v4imS0moSyGdXyLgVTIV7,Charlie Chaplin,Nat King Cole,Nelson Riddle Orchestra,,,,,,,,,,173.44
It'S Beginning To Look A Lot Like Christmas,3m8G0U6LOLv0FGnrFzRskN,6,177258,compilation,,18,Home Alone (On The Night Before Christmas),2020-11-27 00:00:00 UTC,Smash The House,71,0GHvkwP9xA5vg658fJppdZ,0LyfQWJT6nXafLPZqxe9Of,Quintino,,,,,,,,,,,,177.258
Lil Croc,61ldnnxBi7jAfFYuEuyIUw,1,106896,single,,1,Lil Croc,2023-03-14 00:00:00 UTC,5084886 Records DK,9,7itLZUla62h0cVkyzm3Sg9,5fST3GBOg09ncbsUf5ERap,Kfn Spec,,,,,,,,,,,,106.896
Tranquil Water,64Fg81A3wyD43n5rRNGRIx,11,143406,compilation,,50,Anthony Alleeson - Vol. 3,2018-06-05 00:00:00 UTC,Rosenklang,1,1upd5zu8HkVNk4zmxIomFu,4chAAwH1MferPNLQepxLOR,Anthony Alleeson,,,,,,,,,,,,143.406
Happy (Love Theme From ""Lady Sings The Blues""),1FoyPUHCAQkpPgyleDAwvJ,4,207826,compilation,,71,Hello World - The Motown Solo Collection,2009-09-01 00:00:00 UTC,Hip-O Select,36,2JTn8KdFeeS4nVz4TTfUpS,3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,,,,,,,,,,,,207.826
Gorgeous - Lullaby Rendition,4Wh9qbE7DRt7anykU4PWgy,2,324333,album,,10,Lullaby Taylor Swift,2021-04-02 00:00:00 UTC,Just Children,30,7tzHQpPikTnQYBn9k93mxG,77e42t56XLhmbo0qBL2fkb,Lullaby Dreamers,,,,,,,,,,,,324.333
Loud (In The Style Of Mac Miller) [Karaoke Version],1aRWGj8He82VjzgjSSdnHH,1,169618,single,,1,Loud (In The Style Of Mac Miller) [Karaoke Version],2012-05-15 00:00:00 UTC,Magenta,0,01lmvpa34pRDsbQDvvbTuf,0ercxNSpB9vFngGphxkjJF,Karaoke Hits Band,,,,,,,,,,,,169.618
Mastered Through,1RwbCdsn1XDlHouAFDbAFi,46,129567,album,,50,Superstar Cardio Beats,2023-11-20 00:00:00 UTC,Move It!,3,7nCz4CKI43ASKue7ADsQ3h,48Q6b3J6RoyxX0Fh8ev2w8,Cardio Allstars,,,,,,,,,,,,129.567
Once Again - Instrumental,6jevcKfEBd9XL4fzJzuaNz,1,123000,single,,1,Once Again (Instrumental),2019-08-30 00:00:00 UTC,Hip Dozer,13,4O8YyCcu862SnDm0u453aX,7rdiGVXL2fFyONexHzfKFS,SoulChef,,,,,,,,,,,,123
Come Back To Sorrento,1meziqjI9XWcAxbkLZyiqM,2,177202,album,,8,A Tribure To Stan Kenton,2019-01-04 00:00:00 UTC,Jet7,3,4JZ4u7zZMFfn5wXNnijSFs,1fhYtOLzN01tp4kUfdNLGF,Maxwell Davis,The Maxwell Davis Orchestra,,,,,,,,,,,177.202
Sunset Strip: I. 7 Pm,1Ab300QRomvKLm1fwjvDtm,5,279626,album,,9,Route 66,2011-01-04 00:00:00 UTC,Naxos,1,7EPnYvmgYkGpKvnMMNtPzD,4LKCxq8mQn0cFlccW9cCBQ,Michael Daugherty,Bournemouth Symphony Orchestra,Marin Alsop,,,,,,,,,,279.626
Gather Around The Christmas Tree,4NuA5yO9zK9BWMVNpOGjdZ,1,100933,album,,15,Christmas Songs For The Whole Family,2022-12-20 00:00:00 UTC,Moon Tunes,28,1WaolonQmp8EASeMmInGrm,6lkaWdA2vwT75qJ1Lgocun,Christmas Music,Merry Christmas,,,,,,,,,,,100.933
Why Don'T We Talk About It,12VosYTfYYBTcLU8Sd4b5C,3,215880,album,,11,The Houston Kid,2001-01-01 00:00:00 UTC,Sugar Hill Records,37,75gG5JoUZEFBssiV2fp9mU,4QIJ2i8I6urte2scKgkVoY,Rodney Crowell,,,,,,,,,,,,215.88
Burden Of Dreams,6W9AidO3ysvNIgHpwU1yxU,7,390000,album,,10,Heart Music,2022-04-08 00:00:00 UTC,Where To Now?,0,58gtoBiXUlwMtPubh78zDK,5ZEnjR9FTdB2IQZZInL8Ww,Post Moves,,,,,,,,,,,,390
Black Or White (As Made Famous By Michael Jackson),1DY8Furr4NGfbQzOSeUJQL,13,203093,album,,70,Singalong To The Hits Of Michael Jackson,2009-07-01 00:00:00 UTC,Big Eye Music,1,1ezrtMZBifFQz8icRpyfdM,20Xn4WWaHM3jXdNNPfUyx3,The Gloved Ones,,,,,,,,,,,,203.093
Happy Holidays,5odlKCI2XSxPNvmidm0hKP,6,90723,album,,10,Boob Ranch: Lullaby Renditions Of Blink 182 Songs,2014-01-01 00:00:00 UTC,Sparrow Sleeps LLC,32,3nduqOkFEshUlTzpv3HGyP,2VURgzr9TpBmYJEqU25RUw,Sparrow Sleeps,,,,,,,,,,,,90.723
O Kay Sakit,0ReXj8OErEwK23wt8Y2VNO,4,214160,album,,10,Miguel,1988-01-01 00:00:00 UTC,Universal Records,4,4Vji0fKUxjX3PRlzrL2lD4,3aEU0r0K2DwZiQ5sfeC6AV,Miguel Vera,,,,,,,,,,,,214.16
Disstrack On 13 Year Old Boy Darion,735EzKq9p30SklOwJtLFWv,4,120163,single,,4,The Prince Family,2021-08-07 00:00:00 UTC,The Prince Family,18,4tPQOaalOInjRs7E7YMy2g,1ZWbHOQZNkOPnPM4MpUjdm,The Prince Family,Step Dad Marvin,,,,,,,,,,,120.163
Give Your Heart A Break (Instrumental),3BVyOtlol4bBp8lv1GqihV,7,140444,album,,9,Tribute To Demi Lovato,2016-04-29 00:00:00 UTC,Harp Player,0,0HlaB8ZvQScgJ6UE90zoOs,3MH3rj8Xczb8gF2rl3eylr,Harp Player,,,,,,,,,,,,140.444
My Sister Lover - Remastered,2nKFsyTcumVM0DMMGeLqmw,5,359546,album,,40,Be Here Now (Deluxe Remastered Edition),1997-01-01 00:00:00 UTC,Big Brother Recordings Ltd,60,4XBCWqCXqCdN72K9SklIjy,2DaxqgrOhkeH0fpeiQq2f4,Oasis,,,,,,,,,,,,359.546
Six Little Ducks,14m6IBg4UqCGYz2LEurK3c,2,112240,album,,25,Action Songs: Rhymes & Songs,2002-01-01 00:00:00 UTC,AVID Entertainment,15,0KRSa56vHeoA5QDLdYdRAp,0NcZOCgglyAmOdkiM9kQuv,Tumble Tots,,,,,,,,,,,,112.24
Play It Safe,7w7JOJxTi6e1ZsoBHfviCv,1,104150,single,,1,Play It Safe,2023-04-05 00:00:00 UTC,4817552 Records DK2,1,4iR8cG4EVlkT65JusboRnW,4QZWL21e4l5bxazptovhkM,Lil King,,,,,,,,,,,,104.15
Nirvana,1oKpNMg3Y948OvQLEMl9wg,5,194164,compilation,,11,Nirvana,2017-12-11 00:00:00 UTC,Global Records,7,6cpaAYDWDxCe6h1s978NJj,2w9zwq3AktTeYYMuhMjju8,INNA,,,,,,,,,,,,194.164
Don'T Blame Me,2XgEKRGsLBuAxtPaUfSl15,2,144320,album,,12,Action!,1968-01-01 00:00:00 UTC,Trojan Records,1,3t0hwjInysqCfahUie4388,4fmVPsGxjwP5ruiTEvIcOt,Desmond Dekker & The Aces,,,,,,,,,,,,144.32
Against The Grain,7ltVqi1JBADYXbqcxwvVs8,3,188577,album,,9,Two Brothers - Alex Ray And Mixwell,2021-04-03 00:00:00 UTC,2881946 Records DK,10,2BLpDX7faMACucmNIhoiy3,5eiGNfjj1gyaMwsP05eQ7y,Mixxwell,Alex Ray,,,,,,,,,,,188.577
Ada Gadis Di Sebelahnya,1RhsjxqU2JfptWVtUcispl,22,167600,album,,32,Siri Bintang Pujaan,2014-08-01 00:00:00 UTC,Universal Music Ltd. (Malaysia branch),21,3694nUIibTy2Yay9BuZ3Ne,4NnBbi48c3iFGh39L4jELO,Rafeah Buang,,,,,,,,,,,,167.6
Bedtime Stories,3kYIzIsHTd1IKFTB9yqzg6,1,128914,single,,4,Cardboard Box Colony,2020-10-23 00:00:00 UTC,Stimulus Package Records,1,4sKyeM0bEu7ZfZJGFvAqXj,4KZ5joheF3aYtkydrpiSeD,Cardboard Box Colony,,,,,,,,,,,,128.914
July In Detroit (Feat. Gloria House),042H1B1OHWmxO6Hz2RgaTL,17,158840,album,,23,About Love Sometimes..The Poetry Of Soul,2009-01-01 00:00:00 UTC,Spoken Universe Productions,0,5yp8XGZv94T6ASF52YDlkT,154Adjf2BDI766kin6JTlZ,Albert Michael Ward,,,,,,,,,,,,158.84
Loss And Love,45G9ZGU4Jw37Yx8hs9dA8f,1,205960,single,,6,Behind The Smile,2016-06-17 00:00:00 UTC,600 Volt,6,2b0QTrNCCrtSJ2I4ySFydH,10BwHZCTlNF44mgOBrMec3,Whitney Woerz,,,,,,,,,,,,205.96
Zeus,3ENxxGwFSfMv3DZZ4KdxQl,7,140892,compilation,,50,Anthony Davilio - Vol. 3,2019-06-01 00:00:00 UTC,Rosenklang,28,1mPDrwRAYTzXcrLulDNBnA,0Uk6Y4mqIiQw60PZ6O7S1P,Anthony Davilio,,,,,,,,,,,,140.892
All Night Long (Originally By Demi Lovato - Missy Elliott & Timbaland) [Karaoke Version],43wralm1wxNwztcnUiXbdu,1,195160,single,,1,All Night Long (Originally By Demi Lovato - Missy Elliott & Timbaland) [Karaoke Version] - Single,2011-09-17 00:00:00 UTC,TCK/KARAOKE HITTS,0,4HWvKPL7gI1vXn9zQAD95o,7ix2GQu4Zalloee2RoeqAl,The Clone Karaoke,,,,,,,,,,,,195.16
Cozy Flow,7gQaUkDcjAxg4rJLqeExPl,19,150072,album,,22,Season 22,2022-10-22 00:00:00 UTC,AFROEUROBOYS,6,3cgEtC1y1l9R9RiWtvz4u1,2JBAKXaNkh8sHLtSc5rWN6,TRAVIS D.E.W,KTM Whis,,,,,,,,,,,150.072
Tell Me Why,1vaclsrwkJdpHShPWTcwIN,9,199210,album,,16,Tribute To Taylor Swift,2012-09-29 00:00:00 UTC,Kyna - OMP,0,6CSD2S1ZDkYEZLeC2DcvXN,4tHqkqP0DCD8Ek5OPvYTzH,Audio Idols,,,,,,,,,,,,199.21
Ne Partons Pas Fâchés - Live 2006,3s3byfsevYrJKLNbXtnFlD,15,328373,album,,17,Une Nuit Au Châtelet,2007-03-02 00:00:00 UTC,Parlophone (France),18,0tV7H2M6TJNUlqgarDO7nK,1NPnXlXdEfr5ZxhEDsFevM,Raphaël,,,,,,,,,,,,328.373
Hold What You Got,03aVeDkO6q3KlNcm0EgjFP,10,380880,album,,14,Rendezvous With The Blues,2006-01-01 00:00:00 UTC,Rockin' Camel Music,15,3flb1KNfYAWoP59Pib61AM,2LorJQEiLTxNDsJ3jVrQNi,Jimmy Hall,,,,,,,,,,,,380.88
Tivrusky - Original Mix,0O4HkXrMiTbCpMueD48pDH,12,263000,compilation,,17,Summer Waves Vol. 2,2012-06-12 00:00:00 UTC,Stardust Records,7,2uT0dfNCmmEfEydS9l60g5,0LyfQWJT6nXafLPZqxe9Of,scutheotaku,,,,,,,,,,,,263
How Can I Switch (Feat. Young Trez),5WPQTyVZ4t8CZ0eoX6K2xx,9,160758,album,,10,Drip Season,2016-10-15 00:00:00 UTC,300 Entertainment,45,0dHaEMMoQ7HP3nBi3yYU0o,2hlmm7s2ICUX0LVIhVFlZQ,Gunna,Young Trez,,,,,,,,,,,160.758
Travelin' Prayer,3gxl50b9332rNcPI8YbTXu,1,256959,album,,33,Piano Man (Legacy Edition),1973-11-07 00:00:00 UTC,Columbia/Legacy,69,69wjSAZXZiD2EBia3b3gxL,6zFYqv1mOsgBRQbae3JJ9e,Billy Joel,,,,,,,,,,,,256.959
Good News (Feat. Todd Galberth),1W81Nw0r10hBUlimFg2G2U,2,546799,album,,8,Yet (Feat. Ashley Hess & The King Will Come),2023-10-06 00:00:00 UTC,Tribl Records LLC,52,5UrquVUYkl6qbyHkip4SNb,58r1rB5t3VF5X6yXGPequV,Maverick City Music,Naomi Raine,Chandler Moore,Todd Galberth,,,,,,,,,546.799
Who Says - Karaoke Version,5aMfsMQMpXxzQL72iB2dmu,2,194854,single,,2,Who Says (In The Style Of Selena Gomez),2011-04-13 00:00:00 UTC,Icover Records,0,5YT7vF2y5FJD0vr3msbc9i,5hCckHPiKZOaWsycAVdqQx,Naturally,,,,,,,,,,,,194.854
Partie 2 En Ut Mineur: Sonata,3vnd49P9snxmYKOisb07IN,24,108000,album,,33,Pachelbel : Musicalische Ergotzung Pour 2 Violons & Basse Continue,1994-11-15 00:00:00 UTC,Pierre Verany,44,5SKbxeQbBMw6SWMEAzInKN,62TD7509VQIxUe4WpwO0s3,Johann Pachelbel,Les Cyclopes,Bibiane Lapointe,Thierry Maeder,Manfred Kraemer,Laura Johnson,Nina Diehl,,,,,,108
Stubborn Thing,2q4RT72mnb14vepSyaFOt9,13,220462,album,,14,Revelry & Retribution,2022-05-01 00:00:00 UTC,Robbie Turnbull,1,7EYMCqJb4YGqxm6bYSiT0V,0vK8PE0u29dvDL0bdGftd2,Robbie Turnbull,,,,,,,,,,,,220.462
Stravinsky: Suite For Small Orchestra No. 1: Ii. Napolitana,6TI5AM8SRJHCL2v7PSkizf,36,71773,album,,43,Stravinsky: Pulcinella - Renard - Suites & Ragtime,1995-01-01 00:00:00 UTC,Warner Classics,8,4jq4UBVXeU5ER3JXGSAKzn,7ie36YytMoKtPiL7tUvmoE,Igor Stravinsky,Hugh Wolff,Saint Paul Chamber Orchestra,,,,,,,,,,71.773
I'M Getting Used To You,7kcW1eVOuL3fAG8gs9jo3s,4,242933,compilation,,15,Greatest Hits,2003-01-01 00:00:00 UTC,EMI Latin (LAT),25,15sPmab4zmaXJZ6LjSQxtB,6IE6z7DcZIT4Ml3Fh5Ivch,Selena,,,,,,,,,,,,242.933
Neverending - Remix,158TBouj8iF93Kff5KqBoA,3,168402,album,,18,Those Were The Days 2000-2016,2023-10-11 00:00:00 UTC,Kinga studios,2,01cPbNPyNJTPd8i65ByoUP,3BWR2a4LCJJP0IfPI6ezDo,Dolly Daggers,,,,,,,,,,,,168.402
U Don'T Have To Call - Pound Boys Boogie Vocal,4LEy8YVo3YpmvstCeXKcFc,3,407026,single,,3,Can U Help Me,2002-08-20 00:00:00 UTC,Arista,13,0JZKU8iIYydEC0x3nNVJHL,23zg3TcAtWQy7J6upgbUnj,USHER,Craig C.,Dealer,,,,,,,,,,407.026
Cu Lumina Ta,68j60J2gWOrF48lDq8WU2L,4,230000,album,,10,Singuri Impreuna,2001-03-25 00:00:00 UTC,2001 Cat Music,2,2LjGUsOwB0mhGH3bXSkbry,7M6hQnDIarBJLHeMV7ItKA,Rafael,,,,,,,,,,,,230
The Blues Man,55DwAvslsGeM96AeUeB6DR,1,213521,album,,10,Swamp Doggy Dog,1994-05-17 00:00:00 UTC,Warrior Records,8,7iTg9adiOb6K8DrYuZLtc2,3LAokgPb06rEeIThXrG5eL,Angel South,,,,,,,,,,,,213.521
Dancing With The Devil,712TAXqYSyGSUTjJWkkAWj,2,243992,album,,19,Dancing With The Devil…The Art Of Starting Over,2021-04-02 00:00:00 UTC,Island Records,29,6sd6oS6HuxB2ikLldAz4q9,6S2OmqARrzebs0tKUEyXyp,Demi Lovato,,,,,,,,,,,,243.992
Arata,2YVf3o0uls0t0EGW91gEy4,1,95521,album,,99,Fifth Flower,2019-01-08 00:00:00 UTC,fifth flower,10,6UxMA1YYd2X9Ia2xLV2Jzt,5IPMPAdP90JS5n0Q9LyZmc,fifth flower,,,,,,,,,,,,95.521
Bigger Boat (Feat. Randy Newman),2sD2NkcEqaEPPvkvIka26B,7,214093,album,,17,Your Life Is A Record (Deluxe Edition),2021-03-05 00:00:00 UTC,Warner Records,37,2Zor1BSChR147LVFyIzrpy,5vMAKlvvMNSRQRYCAvpG6S,Brandy Clark,Randy Newman,,,,,,,,,,,214.093
His Eye Is On The Sparrow,3ACIMorD701E6qfKzU89qZ,9,190013,album,,24,At The Piano,2008-03-11 00:00:00 UTC,Kim's Keys,1,2KIVxKMjkdOTHZiFb3br8o,50pFIpzq1s3RouDXc1hUPI,Kim Usher,,,,,,,,,,,,190.013
Speed King - Live At Tokyo - Japan - August 17 - 1972; 2014 Remaster,1kaaIGdGPzBbtvCrj6OKID,6,439560,album,,13,Made In Japan (Deluxe Edition),1972-01-01 00:00:00 UTC,Rhino/Warner Records,20,4Ju17mkQ4MUnQWBg9auMvk,568ZhdwyaiCyOGJRtNYhWf,Deep Purple,,,,,,,,,,,,439.56
Phantom Regret By Jim,5DudFeH8TLGRI0CVgF8Bkz,16,179580,album,,16,Dawn Fm,2022-01-07 00:00:00 UTC,Universal Republic Records,48,1bupWi00723vxZoS7MX9NU,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,,,,,,,,,,,,179.58
Busca Por Dentro (Live),7M0ojbG7VoHrcpox6T9xAd,1,262810,single,,1,Busca Por Dentro (Live),2020-06-04 00:00:00 UTC,Bombo Records,1,3sUeQeuC5Z2mNPvBBg9vsi,04HAdZKSG8bBWGJ9Yo9hfh,Hendrix,,,,,,,,,,,,262.81
Have Yourself A Merry Little Christmas,0SDXfgqRSPrY6QRn9wU9C4,5,267800,compilation,,15,A Very Special Christmas,1987-10-20 00:00:00 UTC,A&M,70,06H9y3oBVGgYQ0McDsCYX4,0LyfQWJT6nXafLPZqxe9Of,Pretenders,,,,,,,,,,,,267.8
Mountain Of Skull,7v3yudf6Q6GCDW5FKT3FhY,4,290933,album,,12,The Monumental Pandemonium,2022-04-29 00:00:00 UTC,Great Dane Records,3,2l1pIh7rjMDcjUx3OW3maY,3HqeevVrWVtRrqpuWivsix,Post-Mortem,,,,,,,,,,,,290.933
The Channel,1G7AYvz95ouZmRlMYna97i,5,276946,album,,7,The Unquestionable Truth (Pt. 1),2005-05-03 00:00:00 UTC,Limp Bizkit / Interscope,47,0VsNR8ay7aO8DQGNng2Fko,165ZgPlLkK7bf5bDoFc6Sb,Limp Bizkit,,,,,,,,,,,,276.946
Saabm,7o7X50iyxfSK7DfwGtiDp4,6,63164,album,,10,Mimmo Inversione Ad U,2023-12-06 00:00:00 UTC,domenico palella Music,24,5Xp4R1VtWD2huFR4os2mTs,01vTLPpedRznvVInnuz3WS,Maxwell1010,,,,,,,,,,,,63.164
Gentle Yoga Meditation - Suite Spa,46qHkbGFYqRNYmSc546V5a,41,267400,compilation,,50,Top 50 Spa & Massage Music: Ultimate Divine Relaxation And Wellness Center Songs - Deep Sleep Oasis - Spa Music Dreams - Zen Meditation & Healing,2016-04-28 00:00:00 UTC,2016 Rehegoo,8,58JPYXE3WUiE8Bwt3cXvll,0LyfQWJT6nXafLPZqxe9Of,Healing Meditation Zone,,,,,,,,,,,,267.4
Beyond Arena,2uPQxS4QodGrAgC7sPo258,46,122874,album,,50,Chill Spa Surroundings,2023-11-13 00:00:00 UTC,Meditation Music,4,0ghQimdiZi9hhEKDJIRyVY,6vjtpVWYve5LGyiRHpTec0,Spa Musique Massage,,,,,,,,,,,,122.874
Sleepfall Celeste - (1976 Version) [2022 Remaster],0oDRWClsagepcoVrNaCxk2,9,61093,album,,101,Archive Collection: Vol. I & Vol. Ii,2022-01-28 00:00:00 UTC,Esoteric,16,4VmauBFNevFPz4Z5ea0ony,6VWHWGvsfZm3cOsRCOqwq6,Anthony Phillips,,,,,,,,,,,,61.093
Concerto For 3 Trumpets - 2 Oboes - Timpani - Strings And Continuo In D: 2. Grave,3ogqusXM0mNyH9Y5HY4lLr,2,23333,album,,22,Telemann: Trumpet Concertos,1988-01-01 00:00:00 UTC,Decca Music Group Ltd.,38,2nWPNjq4E2s4ONXW2rd0jd,2fg5h5pzleqI4RjFopWroj,Georg Philipp Telemann,Håkan Hardenberger,Michael Laird,William Houghton,Celia Nicklin,Tess Miller,Graham Sheen,,,,,,23.333
Delhi,3cboHALoUVeBp61eKCLDLu,9,179527,album,,32,India,2023-08-15 00:00:00 UTC,BMRK Records,6,6Mvn7mqg93hFL29xYZ4cJL,1ifmaxCZhBRxnw7y2ljQ4a,Malhar Sompura,,,,,,,,,,,,179.527
Stay Away,7chyYGHEsEbpImc26NjhXt,10,211440,album,,70,Nevermind (Super Deluxe Edition),1991-09-26 00:00:00 UTC,Geffen,53,3FFGbUutKWN1c4f0CJR4Uh,6olE6TJLqED3rqDCT0FyPh,Nirvana,,,,,,,,,,,,211.44
Speak Low,7fE0tYCw1p8U3Z0FPfaI8E,4,386240,album,,12,Back To Birdland,2001-07-24 00:00:00 UTC,Telarc,3,0LwsqoHF00OGs403nqDwFz,6uduXqfPOgmcelx9Kclo3y,George Shearing Quintet,,,,,,,,,,,,386.24
Should'Ve Said No,16MVSD0mGI4RMQT83Qzm69,9,242200,album,,15,Taylor Swift,2006-10-24 00:00:00 UTC,Big Machine Records - LLC,75,7mzrIsaAjnXihW3InKjlC3,06HL4z0CvFAxyc27GXpf02,Taylor Swift,,,,,,,,,,,,242.2
Esculturas Románticas - Op. 86: No. 3 - La Mariblanca,2ZzccIKSzKLpKDGnFRMOOV,16,107626,album,,19,Como Una Fantasía,2019-08-16 00:00:00 UTC,EMEC Records,0,6851L0TWyVPdc3SM6SoV7u,31nf9OhWye440Bs1twIJrD,Manuel Seco de Arpe,Michael Kevin Jones,Graham Jackson,,,,,,,,,,107.626
