track_name,track_id,track_number,duration_ms,album_type,artists,total_tracks,album_name,release_date,label,album_popularity,album_id,artist_id,artist_0,artist_1,artist_2,artist_3,artist_4,artist_5,artist_6,artist_7,artist_8,artist_9,artist_10,artist_11,duration_sec
Twas The Night,2IJewMqWT2SQ3JGTEylgC4,7,309880,album,,10,Maxwell Edison,2004-01-01 00:00:00 UTC,Maxwell Edison,0,549yWYnGPTEFFN6gKnxCTW,3Cu0Magqmld7VAeaK6yu18,Maxwell Edison,,,,,,,,,,,,309.88
Traitor,6JJjUaP1Gv3nsOwFtFFbBm,22,229226,compilation,,28,Bored Billie,2021-10-01 00:00:00 UTC,UME - Global Clearing House,18,7wJrbgurEbDQsNPYUMdhr3,0LyfQWJT6nXafLPZqxe9Of,Olivia Rodrigo,,,,,,,,,,,,229.226
All Around Me,2J5AR8mpRXhTpwxyA0TanE,22,238562,album,,26,Yes Future (Extended),2023-03-31 00:00:00 UTC,Enchanté Records,39,5vlb85GzKY1s8JixRv9ZyA,5zExRf0VQCl3GO4Jrj8r0s,The Toxic Avenger,,,,,,,,,,,,238.562
Truckin' - Live At Folsom Field - Boulder - Co - 6/17/22,3ufJX9Wa4jVpUuRVZL2Wgn,11,743213,album,,20,Folsom Field - Boulder - Co - 6/17/22 (Live),2023-04-14 00:00:00 UTC,Rhino,34,5eUEknLgC9HX7ADCZ3pulM,4QMYdqiJf5bEC7P0EHbnxn,Dead & Company,,,,,,,,,,,,743.213
Phantom Regret By Jim,4bjYKaezFMcmiyNvRcRIwL,16,179580,album,,19,Dawn Fm (Alternate World),2022-01-07 00:00:00 UTC,XO / Republic Records,61,3esNgb0dchNmQ3MhlUVaa7,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,,,,,,,,,,,,179.58
Always On The Grind (Feat. D Real),1NANqkUkf6RwJWrVLOdKXo,9,191653,album,,17,Ready To Die Rich,2014-09-08 00:00:00 UTC,Global Alliance Ent.,2,7zreZxocInBc9c1eSz3KkK,65siHsMryFcpRp229Sn5WO,Johnny Cashville,D Real,,,,,,,,,,,191.653
Sleeping Bunnies,4MwWO4hvCxzG23D0FFGo3k,15,104716,album,,20,Nursery Rhyme Favourites,2020-09-25 00:00:00 UTC,Moonbug Entertainment Ltd,33,4UwfBLYmS2uxCXpILFE1V7,0lFDQOEK5OwsyPXb1aWJzY,Little Baby Bum Nursery Rhyme Friends,,,,,,,,,,,,104.716
The Ballad Of Ira Hayes (Karaoke Version),5QFPQs66Hm0dpVUwmAMBto,6,245055,album,,49,Karaoke (In The Style Of Johnny Cash),2012-07-26 00:00:00 UTC,Ameritz Music Ltd,4,1PqSd5PmNDEWv9xo179cON,6A0fDIT1PphHIsNz4KfIK0,Ameritz Karaoke Entertainment,,,,,,,,,,,,245.055
I Love You,6uARAWyqga69qUxxfe6lKz,7,204933,album,,11,Yggdrasil,2015-08-25 00:00:00 UTC,A Year from Monday,0,3aaAuzhIvQ7yt5LRcAZyqT,0urv8AOxNlWd0EdW7D81L1,A Year from Monday,,,,,,,,,,,,204.933
I Got A Boy,2WkPfNd237yc0l5KewCDpp,1,271325,album,,10,I Got A Boy - The 4Th Album,2013-01-01 00:00:00 UTC,SM Entertainment,54,3uhihQCm9aSvdJmDXcVrvi,0Sadg1vgvaPqGTOjxu0N6c,Girls' Generation,,,,,,,,,,,,271.325
